INFO  - 2015-03-27 10:10:10.025; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2440509, 244051, 2440510, 2440512, 2440513, 2440514, 2440515, 2440516, 2440517, 2440518, ... (100 adds)]} 0 44
INFO  - 2015-03-27 10:10:10.073; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2440607, 2440608, 2440609, 244061, 2440610, 2440612, 2440613, 2440614, 2440615, 2440616, ... (100 adds)]} 0 46
INFO  - 2015-03-27 10:10:10.123; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2440707, 2440708, 2440709, 244071, 2440710, 2440711, 2440712, 2440713, 2440714, 2440715, ... (100 adds)]} 0 47
INFO  - 2015-03-27 10:10:10.167; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2440806, 2440807, 2440808, 2440809, 244081, 2440810, 2440811, 2440812, 2440813, 2440814, ... (100 adds)]} 0 42
INFO  - 2015-03-27 10:10:10.218; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2440902, 2440903, 2440904, 2440905, 2440906, 2440907, 2440908, 2440909, 244091, 2440910, ... (100 adds)]} 0 49
INFO  - 2015-03-27 10:10:10.270; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2441004, 2441005, 2441006, 2441007, 2441008, 2441009, 244101, 2441010, 2441011, 2441012, ... (100 adds)]} 0 50
INFO  - 2015-03-27 10:10:10.323; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2441101, 2441103, 2441104, 2441105, 2441106, 2441108, 2441109, 244111, 2441110, 2441111, ... (100 adds)]} 0 51
INFO  - 2015-03-27 10:10:10.371; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2441205, 2441206, 2441208, 2441209, 244121, 2441210, 2441212, 2441213, 2441214, 2441216, ... (100 adds)]} 0 46
INFO  - 2015-03-27 10:10:10.411; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2441338, 2441339, 244134, 2441340, 2441341, 2441342, 2441343, 2441344, 2441345, 2441346, ... (100 adds)]} 0 35
INFO  - 2015-03-27 10:10:10.472; org.apache.solr.update.processor.LogUpdateProcessor; [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[2441436, 2441437, 2441438, 2441439, 244144, 2441440, 2441441, 2441442, 2441443, 2441444, ... (100 adds)]} 0 43
